	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HORVU.MOREX.r3.1HG0003450	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003470	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003490	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003520	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003550	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003580	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003590	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003600	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003610	121.778853989059	-0.137907921595366	0.327835429656048	-0.42066204296483	0.674001881800021	0.999457307108351
HORVU.MOREX.r3.1HG0003620	68.3214570797058	0.316046867576473	0.447627770801381	0.706048391525529	0.48015804428051	0.999457307108351
HORVU.MOREX.r3.1HG0003630	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003650	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003660	9.45878237042888	-0.804490572923747	0.7873082923147	-1.02182408184541	0.306864169331539	0.999457307108351
HORVU.MOREX.r3.1HG0003690	2475.94669252916	0.0352256962297432	0.194775852808104	0.180852481053943	0.856483368318916	0.999457307108351
HORVU.MOREX.r3.1HG0003700	0.314364392915948	1.75881257843044	4.04181733004741	0.435153901032387	0.663450721214719	NA
HORVU.MOREX.r3.1HG0003710	125.523328190921	0.015214574775967	0.400423655093798	0.037996193737363	0.969690716796039	0.999457307108351
HORVU.MOREX.r3.1HG0003720	10.0634630870808	0.380414197314079	0.81316707103956	0.467818005502552	0.639914743357622	0.999457307108351
HORVU.MOREX.r3.1HG0003780	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003800	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003810	0.62091645389365	-0.0606120701914278	3.18309512957566	-0.019041865770285	0.984807707400834	NA
HORVU.MOREX.r3.1HG0003820	1.2362716903682	3.73301545660675	2.91032062927593	1.28268185266429	0.199603560271222	NA
HORVU.MOREX.r3.1HG0003860	533.661864801665	-0.156176190592227	0.226124295398861	-0.690665239295703	0.489775938789884	0.999457307108351
HORVU.MOREX.r3.1HG0003870	0.628728785831896	2.75566974348427	3.97503230422226	0.693244616039273	0.488156053254789	NA
HORVU.MOREX.r3.1HG0003890	5.62022600885161	-0.0185107459672008	1.15678844212501	-0.0160018420768422	0.987232922118899	NA
